CMDLINE C:\Python39\python.exe main.py
MEM 88.152344 1671224900.0401
MEM 88.152344 1671224900.1509
MEM 88.152344 1671224900.2615
MEM 88.152344 1671224900.3724
MEM 88.152344 1671224900.4841
MEM 88.152344 1671224900.5948
MEM 88.152344 1671224900.7056
MEM 88.152344 1671224900.8172
MEM 88.152344 1671224900.9269
MEM 88.152344 1671224901.0387
MEM 88.152344 1671224901.1504
MEM 88.152344 1671224901.2620
MEM 88.152344 1671224901.3737
MEM 88.152344 1671224901.4838
MEM 88.152344 1671224901.5944
MEM 88.152344 1671224901.7061
MEM 88.152344 1671224901.8178
MEM 88.152344 1671224901.9278
MEM 88.152344 1671224902.0395
MEM 88.152344 1671224902.1512
MEM 88.152344 1671224902.2618
MEM 88.152344 1671224902.3725
MEM 88.152344 1671224902.4842
MEM 88.152344 1671224902.5949
MEM 88.152344 1671224902.7066
MEM 88.152344 1671224902.8183
MEM 88.152344 1671224902.9290
MEM 88.152344 1671224903.0399
MEM 88.152344 1671224903.1499
MEM 88.152344 1671224903.2616
MEM 88.152344 1671224903.3733
MEM 88.152344 1671224903.4850
MEM 88.152344 1671224903.5957
MEM 88.152344 1671224903.7058
MEM 88.152344 1671224903.8175
MEM 88.152344 1671224903.9282
MEM 88.152344 1671224904.0385
MEM 88.152344 1671224904.1502
MEM 88.152344 1671224904.2610
MEM 88.152344 1671224904.3727
MEM 88.152344 1671224904.4844
MEM 88.152344 1671224904.5938
MEM 88.152344 1671224904.7055
MEM 88.152344 1671224904.8159
MEM 88.152344 1671224904.9253
MEM 88.152344 1671224905.0352
MEM 88.152344 1671224905.1461
MEM 88.152344 1671224905.2561
MEM 88.152344 1671224905.3671
MEM 88.152344 1671224905.4774
MEM 88.152344 1671224905.5876
MEM 88.152344 1671224905.6994
MEM 88.152344 1671224905.8100
MEM 88.152344 1671224905.9218
MEM 88.152344 1671224906.0334
MEM 88.152344 1671224906.1442
MEM 88.152344 1671224906.2549
MEM 88.152344 1671224906.3666
MEM 88.152344 1671224906.4783
MEM 88.152344 1671224906.5900
MEM 88.152344 1671224906.7017
MEM 88.152344 1671224906.8132
MEM 88.152344 1671224906.9224
MEM 88.152344 1671224907.0341
MEM 88.152344 1671224907.1458
MEM 88.152344 1671224907.2559
MEM 88.152344 1671224907.3676
MEM 88.152344 1671224907.4783
MEM 88.152344 1671224907.5900
MEM 88.152344 1671224907.7017
MEM 88.152344 1671224907.8124
MEM 88.152344 1671224907.9241
MEM 88.152344 1671224908.0358
MEM 88.152344 1671224908.1465
MEM 88.152344 1671224908.2583
MEM 88.152344 1671224908.3686
MEM 88.152344 1671224908.4792
MEM 88.152344 1671224908.5909
MEM 88.152344 1671224908.7026
MEM 88.152344 1671224908.8133
MEM 88.152344 1671224908.9249
MEM 88.152344 1671224909.0359
MEM 88.152344 1671224909.1466
MEM 88.152344 1671224909.2584
MEM 88.152344 1671224909.3686
MEM 88.152344 1671224909.4793
MEM 88.152344 1671224909.5911
MEM 88.152344 1671224909.7026
MEM 88.152344 1671224909.8123
MEM 88.152344 1671224909.9228
MEM 88.152344 1671224910.0331
MEM 88.152344 1671224910.1423
MEM 88.152344 1671224910.2540
MEM 88.152344 1671224910.3657
MEM 88.152344 1671224910.4764
MEM 88.152344 1671224910.5871
MEM 88.152344 1671224910.6988
MEM 88.152344 1671224910.8095
MEM 88.152344 1671224910.9212
MEM 88.152344 1671224911.0329
MEM 88.152344 1671224911.1436
MEM 88.152344 1671224911.2553
MEM 88.152344 1671224911.3670
MEM 88.152344 1671224911.4773
MEM 88.152344 1671224911.5865
MEM 88.152344 1671224911.6982
MEM 88.152344 1671224911.8089
MEM 88.152344 1671224911.9206
MEM 88.152344 1671224912.0323
MEM 88.152344 1671224912.1430
MEM 88.152344 1671224912.2547
MEM 88.152344 1671224912.3664
MEM 88.152344 1671224912.4771
MEM 88.152344 1671224912.5888
MEM 88.152344 1671224912.7005
MEM 88.152344 1671224912.8106
MEM 88.152344 1671224912.9207
MEM 88.152344 1671224913.0299
MEM 88.152344 1671224913.1401
MEM 88.152344 1671224913.2504
MEM 88.152344 1671224913.3605
MEM 88.152344 1671224913.4722
MEM 88.152344 1671224913.5839
MEM 88.152344 1671224913.6946
MEM 88.152344 1671224913.8063
MEM 88.152344 1671224913.9163
MEM 88.152344 1671224914.0270
MEM 88.152344 1671224914.1387
MEM 88.152344 1671224914.2505
MEM 88.152344 1671224914.3607
MEM 88.152344 1671224914.4707
MEM 88.152344 1671224914.5824
MEM 88.152344 1671224914.6932
MEM 88.152344 1671224914.8048
MEM 88.152344 1671224914.9165
MEM 88.152344 1671224915.0274
MEM 88.152344 1671224915.1385
