CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 136.375000 1671323206.4727
MEM 136.375000 1671323206.5819
MEM 136.375000 1671323206.6986
MEM 136.375000 1671323206.8143
MEM 136.375000 1671323206.9290
MEM 136.375000 1671323207.0457
MEM 136.375000 1671323207.1504
MEM 136.375000 1671323207.2581
MEM 136.375000 1671323207.3628
MEM 136.375000 1671323207.4735
MEM 136.375000 1671323207.5870
MEM 136.375000 1671323207.6914
MEM 136.375000 1671323207.8031
MEM 136.371094 1671323207.9178
MEM 136.371094 1671323208.0266
MEM 136.371094 1671323208.1323
MEM 136.371094 1671323208.2430
MEM 136.371094 1671323208.3567
MEM 136.371094 1671323208.4644
MEM 136.371094 1671323208.5751
MEM 136.371094 1671323208.6848
MEM 136.371094 1671323208.8354
MEM 136.371094 1671323208.9471
MEM 136.371094 1671323209.0478
MEM 136.371094 1671323209.1577
MEM 136.371094 1671323209.2664
MEM 136.371094 1671323209.3771
MEM 136.371094 1671323209.4868
MEM 136.371094 1671323209.5955
MEM 136.371094 1671323209.7072
MEM 136.371094 1671323209.8169
MEM 136.292969 1671323209.9276
MEM 136.292969 1671323210.0403
MEM 136.292969 1671323210.1510
MEM 136.292969 1671323210.2538
MEM 136.292969 1671323210.3635
MEM 136.292969 1671323210.4787
MEM 136.292969 1671323210.5881
MEM 136.292969 1671323210.6964
MEM 136.292969 1671323210.8011
MEM 136.195312 1671323210.9108
MEM 136.195312 1671323211.0275
MEM 136.195312 1671323211.1357
MEM 136.195312 1671323211.2416
MEM 136.195312 1671323211.3523
MEM 136.195312 1671323211.4660
MEM 136.195312 1671323211.5737
MEM 136.195312 1671323211.6824
MEM 136.195312 1671323211.7961
MEM 136.195312 1671323211.9008
MEM 136.171875 1671323212.0095
MEM 136.171875 1671323212.1192
MEM 136.171875 1671323212.2280
MEM 136.171875 1671323212.3390
MEM 136.171875 1671323212.4497
MEM 136.171875 1671323212.5614
MEM 136.171875 1671323212.6711
MEM 136.171875 1671323212.7818
MEM 136.171875 1671323212.8905
MEM 136.046875 1671323213.0002
MEM 136.046875 1671323213.1110
MEM 136.046875 1671323213.2197
MEM 136.046875 1671323213.3284
MEM 136.046875 1671323213.4401
MEM 136.046875 1671323213.5498
MEM 136.046875 1671323213.6588
MEM 136.046875 1671323213.7695
MEM 136.046875 1671323213.8799
MEM 136.046875 1671323213.9873
MEM 136.046875 1671323214.0960
MEM 136.046875 1671323214.2065
MEM 136.046875 1671323214.3158
MEM 136.046875 1671323214.4257
MEM 136.046875 1671323214.5339
MEM 136.046875 1671323214.6439
MEM 136.046875 1671323214.7537
MEM 136.046875 1671323214.8624
MEM 136.046875 1671323214.9721
MEM 136.046875 1671323215.0848
MEM 136.046875 1671323215.1955
MEM 136.046875 1671323215.3012
MEM 136.046875 1671323215.4109
MEM 136.046875 1671323215.5191
MEM 136.046875 1671323215.6318
MEM 136.046875 1671323215.7395
MEM 136.046875 1671323215.8592
MEM 136.046875 1671323215.9619
MEM 136.046875 1671323216.0725
MEM 136.046875 1671323216.1867
MEM 136.046875 1671323216.2889
MEM 136.046875 1671323216.3951
MEM 136.046875 1671323216.5078
MEM 136.046875 1671323216.6215
MEM 136.046875 1671323216.7263
MEM 136.046875 1671323216.8360
MEM 136.046875 1671323216.9477
MEM 136.046875 1671323217.0564
MEM 136.046875 1671323217.1651
MEM 136.046875 1671323217.2748
MEM 136.046875 1671323217.3885
MEM 136.046875 1671323217.4942
